,eastAll,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear
3491,0.14,0.48,0.0,0.65,0.36,0.0
3492,0.0,0.0,0.0,0.0,0.0,0.0
3493,0.0,0.0,0.0,0.0,0.0,0.0
3494,-0.1,1.1,0.0,-0.1,0.19,0.0
3495,0.0,0.0,0.0,0.0,0.0,0.0
3496,2.05,-0.77,0.0,1.29,0.0,0.0
3497,2.36,-0.75,0.0,1.52,0.14,0.0
3498,-2.48,3.14,0.0,-2.51,-2.38,0.0
3499,0.94,0.44,0.0,0.0,0.86,0.0
3500,0.0,0.0,0.0,0.0,0.0,0.0
3501,0.0,0.0,0.0,0.0,0.0,0.0
3502,0.0,0.0,0.0,0.0,0.0,0.0
3503,1.31,0.43,0.0,0.0,1.02,0.0
3504,10.9,4.52,0.0,13.05,7.05,0.0
3505,-0.49,0.95,0.0,0.89,0.55,0.0
3506,-0.34,0.99,0.0,1.01,0.64,0.0
3507,29.01,0.65,0.0,1.49,0.88,0.0
3508,29.85,0.67,0.0,1.58,0.93,0.0
3509,0.0,0.0,0.0,0.0,0.0,0.0
3510,1.2,0.41,0.0,0.0,1.06,0.0
3511,0.0,0.0,0.0,0.0,0.0,0.0
3512,1.76,0.66,0.0,1.74,1.12,0.0
3513,13.12,6.18,0.0,17.16,11.9,0.0
3514,14.37,6.19,0.0,19.31,13.82,0.0
3515,2.56,1.02,0.0,2.52,1.35,0.0
3516,0.0,0.0,0.0,0.0,0.0,0.0
3517,1.3,0.55,0.0,1.28,0.92,0.0
3518,0.0,0.0,0.0,0.0,0.0,0.0
3519,1.08,0.63,0.0,0.0,1.01,0.0
3520,1.16,0.41,0.0,1.53,0.91,0.0
3521,1.32,0.46,0.0,1.66,0.99,0.0
3522,3.1,0.88,0.0,3.1,1.98,0.0
3523,3.2,0.88,0.0,3.2,1.98,0.0
3524,1.0,1.3,0.0,1.0,1.0,0.0
3525,1.0,1.3,0.0,1.2,-0.79,0.0
3526,2.64,1.91,0.0,3.99,2.37,0.0
3527,2.73,1.92,0.0,4.06,2.4,0.0
3528,0.0,0.0,0.0,0.0,0.0,0.0
3529,0.0,0.0,0.0,0.0,0.0,0.0
3530,1.5,1.2,0.0,1.5,0.79,0.0
3531,1.22,0.8,0.0,2.02,1.12,0.0
3532,2.19,0.79,0.0,1.81,0.89,0.0
3533,-1.37,1.45,0.0,0.28,0.28,0.0
3534,-1.17,1.49,0.0,0.45,0.37,0.0
3535,2.38,0.55,0.0,2.19,1.12,0.0
3536,0.0,0.0,0.0,0.0,0.0,0.0
3537,0.0,0.0,0.0,0.0,0.0,0.0
3538,0.66,0.11,0.0,0.0,0.51,0.0
3539,0.78,0.14,0.0,0.0,0.62,0.0
3540,0.77,0.68,0.0,0.0,0.0,0.0
