,_id,eastAll,eastName,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear,eastUrl
3783,5955bac42c289c31b3b8484d,1.97%,金鹰添益纯债,0.47%,--,1.89%,1.02%,--,http://fund.eastmoney.com/003163.html
3784,5955bac52c289c31b3b8484f,1.34%,博时富宁纯债债券,0.84%,--,1.43%,0.87%,--,http://fund.eastmoney.com/003162.html
3785,5955bac72c289c31b3b84851,2.93%,南方安泰养老混合,1.50%,--,2.92%,1.74%,--,http://fund.eastmoney.com/003161.html
3786,5955baca2c289c31b3b84853,-2.11%,万家恒瑞18个月定开债C,0.50%,--,1.81%,0.12%,--,http://fund.eastmoney.com/003160.html
3787,5955bacb2c289c31b3b84856,-1.78%,万家恒瑞18个月定开债A,0.54%,--,2.00%,0.23%,--,http://fund.eastmoney.com/003159.html
3788,5955bacd2c289c31b3b84858,2.32%,国投瑞银瑞达混合,0.80%,--,1.61%,0.39%,--,http://fund.eastmoney.com/003158.html
3789,5955bad02c289c31b3b8485a,0.30%,招商招悦纯债C,1.40%,--,1.04%,0.75%,--,http://fund.eastmoney.com/003157.html
3790,5955bad22c289c31b3b8485c,0.44%,招商招悦纯债A,1.41%,--,1.12%,0.80%,--,http://fund.eastmoney.com/003156.html
3791,5955bad42c289c31b3b8485e,2.72%,中加丰尚纯债债券,0.99%,--,3.10%,0.82%,--,http://fund.eastmoney.com/003155.html
3792,5955bad62c289c31b3b84861,10.51%,华宝新活力混合,6.42%,--,11.87%,10.03%,--,http://fund.eastmoney.com/003154.html
3793,5955bad92c289c31b3b84863,-2.68%,华富天鑫灵活配置混合C,0.61%,--,-2.68%,-2.53%,--,http://fund.eastmoney.com/003153.html
3794,5955bada2c289c31b3b84865,-2.24%,华富天鑫灵活配置混合A,0.69%,--,-2.24%,-2.32%,--,http://fund.eastmoney.com/003152.html
3795,5955badc2c289c31b3b84867,0.42%,中欧睿诚定期开放混合C,0.71%,--,0.57%,-0.07%,--,http://fund.eastmoney.com/003151.html
3796,5955bade2c289c31b3b84869,0.54%,中欧睿诚定期开放混合A,0.71%,--,0.67%,-0.01%,--,http://fund.eastmoney.com/003150.html
3797,5955bae02c289c31b3b8486c,-2.73%,中欧瑾悠灵活配置混合C,0.79%,--,-1.31%,-2.78%,--,http://fund.eastmoney.com/003149.html
3798,5955bae22c289c31b3b8486e,-2.64%,中欧瑾悠灵活配置混合A,0.79%,--,-1.25%,-2.76%,--,http://fund.eastmoney.com/003148.html
3799,5955bae42c289c31b3b84870,-2.58%,大成动态量化混合,4.78%,--,0.51%,-3.19%,--,http://fund.eastmoney.com/003147.html
3800,5955bae62c289c31b3b84872,3.40%,融通通优债券,0.18%,--,3.15%,0.45%,--,http://fund.eastmoney.com/003146.html
3801,5955bae82c289c31b3b84874,-9.74%,中融竞争优势,9.81%,--,-0.21%,3.45%,--,http://fund.eastmoney.com/003145.html
3802,5955baea2c289c31b3b84877,4.68%,华宝新机遇混合(LOF)C,0.58%,--,3.66%,2.21%,--,http://fund.eastmoney.com/003144.html
3803,5955baec2c289c31b3b84879,1.20%,鹏华弘达混合C,1.78%,--,2.44%,2.44%,--,http://fund.eastmoney.com/003143.html
3804,5955baef2c289c31b3b8487b,113.69%,鹏华弘达混合A,1.83%,--,114.96%,113.11%,--,http://fund.eastmoney.com/003142.html
3805,5955baf12c289c31b3b8487d,2.14%,鹏华弘腾混合C,1.12%,--,2.37%,1.68%,--,http://fund.eastmoney.com/003141.html
3806,5955baf32c289c31b3b84880,10.93%,鹏华弘腾混合A,1.14%,--,11.13%,10.16%,--,http://fund.eastmoney.com/003140.html
3807,5955baf52c289c31b3b84882,1.18%,金元顺安沣楹债券,1.22%,--,3.70%,3.22%,--,http://fund.eastmoney.com/003135.html
3808,5955baf72c289c31b3b84884,1.78%,易方达裕鑫债券C,3.51%,--,5.06%,3.16%,--,http://fund.eastmoney.com/003134.html
3809,5955baf92c289c31b3b84886,1.94%,易方达裕鑫债券A,3.52%,--,5.16%,3.21%,--,http://fund.eastmoney.com/003133.html
3810,5955bafb2c289c31b3b84888,14.18%,德邦新回报灵活配置混合,4.54%,--,--,8.01%,--,http://fund.eastmoney.com/003132.html
3811,5955bafd2c289c31b3b8488b,0.70%,国寿安保强国智造混合,5.72%,--,1.52%,-4.35%,--,http://fund.eastmoney.com/003131.html
3812,5955baff2c289c31b3b8488d,-1.49%,信诚稳利C,1.47%,--,0.71%,0.64%,--,http://fund.eastmoney.com/003130.html
